tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
04/09/2017,11900,11150,10500,12200,11400,13000,13000,35000,35000,145000,150000,140000,21000,21000,29000,29000,30000,30000,42500,60000,25000,27500,25000,30000,13650,11500,14500,15000,13900,13750,14000
05/09/2017,11900,11150,10500,12200,11400,13000,13000,33500,33500,145000,150000,140000,22000,22000,29000,29000,30000,30000,38750,52500,25000,27500,25000,30000,13650,11500,14500,15000,13900,13750,14000
06/09/2017,11900,11150,10500,12200,11400,13000,13000,33500,33500,145000,150000,140000,22000,22000,29000,29000,30000,30000,38750,52500,25000,27500,25000,30000,13650,11500,14500,15000,13900,13750,14000
07/09/2017,11900,11150,10500,12200,11400,13000,13000,33500,33500,145000,150000,140000,21000,21000,29000,29000,30000,30000,37500,50000,25000,27500,25000,30000,13650,11500,14500,15000,14250,14500,14000
08/09/2017,11900,11150,10500,12200,11400,13000,13000,33500,33500,145000,150000,140000,21000,21000,29000,29000,30000,30000,37500,50000,25000,27500,25000,30000,13650,11500,14500,15000,14250,14500,14000
11/09/2017,11900,11150,10500,12200,11400,13000,13000,32500,32500,145000,150000,140000,22000,22000,27500,27500,30000,30000,37500,50000,25000,26250,25000,27500,13650,11500,14500,15000,14250,14500,14000
12/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,22000,22000,27500,27500,30000,30000,37500,50000,25000,26250,25000,27500,13650,11500,14500,15000,14250,14500,14000
13/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,22000,22000,27500,27500,30000,30000,37500,50000,25000,26250,25000,27500,13650,11500,14500,15000,14250,14500,14000
14/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21000,21000,28000,28000,30000,30000,35750,45000,26500,27500,25000,30000,13650,11500,14500,15000,14250,14500,14000
15/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21000,21000,28000,28000,30000,30000,35750,45000,26500,27500,25000,30000,13650,11500,14500,15000,14250,14500,14000
18/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21000,21000,28000,28000,30000,30000,38250,47500,29000,27500,25000,30000,13650,11500,14500,15000,14250,14500,14000
19/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21250,21250,28000,28000,30000,30000,38250,47500,29000,27500,25000,30000,13650,11500,14500,15000,14250,14500,14000
20/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21250,21250,28000,28000,30000,30000,36500,44000,29000,25000,25000,25000,13650,11500,14500,15000,14250,14500,14000
22/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21250,21250,28000,28000,29000,29000,36500,44000,29000,25000,25000,25000,13650,11500,14500,15000,14250,14500,14000
25/09/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21250,21250,28000,28000,29000,29000,36500,44000,29000,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
26/09/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,21250,21250,28000,28000,29000,29000,36500,44000,29000,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
27/09/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,21250,21250,28000,28000,29000,29000,36500,44000,29000,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
28/09/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,20500,20500,27000,27000,29000,29000,36500,41500,31500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
29/09/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,20500,20500,27000,27000,29000,29000,36500,41500,31500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
02/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,21000,21000,27000,27000,29000,29000,35750,40000,31500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
03/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,20500,20500,27000,27000,29000,29000,35750,40000,31500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
04/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,20500,20500,27000,27000,29000,29000,35750,40000,31500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
05/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,20000,20000,26500,26500,29000,29000,35750,40000,31500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
06/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,20000,20000,26500,26500,29000,29000,40000,45000,35000,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
09/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,20500,20500,26500,26500,29000,29000,45750,45000,46500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
10/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,20500,20500,26500,26500,29000,29000,45750,45000,46500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
11/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,21750,21750,26500,26500,29000,29000,45750,45000,46500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
12/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,22000,22000,26500,26500,29000,29000,45750,45000,46500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
13/10/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,22000,22000,26500,26500,29000,29000,45750,45000,46500,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
16/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,21500,21500,26500,26500,29000,29000,42500,45000,40000,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
17/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,21500,21500,26500,26500,29000,29000,39000,38000,40000,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
18/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,21500,21500,26500,26500,29000,29000,39000,38000,40000,25000,25000,25000,13650,11500,14500,15000,14000,14000,14000
19/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,21500,21500,26500,26500,29000,29000,39250,38500,40000,26500,25000,28000,13650,11500,14500,15000,14000,14000,14000
20/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,21500,21500,26500,26500,27000,27000,39250,38500,40000,26500,25000,28000,13650,11500,14500,15000,14000,14000,14000
23/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,21000,21000,26500,26500,27000,27000,39250,38500,40000,25500,25000,26000,13650,11500,14500,15000,14000,14000,14000
24/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,21000,21000,26500,26500,27000,27000,39250,38500,40000,25500,25000,26000,13650,11500,14500,15000,14000,14000,14000
25/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,20750,20750,28000,28000,28000,28000,36500,38000,35000,25500,25000,26000,13650,11500,14500,15000,14000,14000,14000
26/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,20750,20750,28000,28000,28000,28000,36500,38000,35000,25500,25000,26000,13650,11500,14500,15000,14000,14000,14000
27/10/2017,12150,11500,10500,12800,12500,13000,12500,29500,29500,145000,150000,140000,20750,20750,28000,28000,28000,28000,36500,38000,35000,25250,24500,26000,13650,11500,14500,15000,14000,14000,14000
30/10/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,20000,20000,28000,28000,26500,26500,35750,36500,35000,25250,24500,26000,13650,11500,14500,15000,14000,14000,14000
31/10/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,21000,21000,28000,28000,26500,26500,37500,40000,35000,25250,24500,26000,13650,11500,14500,15000,14000,14000,14000
01/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,21000,21000,28000,28000,26500,26500,37500,40000,35000,29500,30000,29000,13650,11500,14500,15000,14000,14000,14000
02/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,21000,21000,29000,29000,26500,26500,37500,40000,35000,29500,30000,29000,13650,11500,14500,15000,14000,14000,14000
03/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,21000,21000,29000,29000,26500,26500,37500,40000,35000,29500,30000,29000,13650,11500,14500,15000,14000,14000,14000
06/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,20500,20500,32500,32500,26500,26500,37500,40000,35000,29500,30000,29000,13650,11500,14500,15000,14000,14000,14000
07/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,20500,20500,32500,32500,24000,24000,37500,40000,35000,31750,30000,33500,13650,11500,14500,15000,14000,14000,14000
08/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,20500,20500,32500,32500,24000,24000,37500,40000,35000,31750,30000,33500,13650,11500,14500,15000,14000,14000,14000
09/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,20500,20500,28000,28000,24000,24000,37500,40000,35000,31750,30000,33500,13750,11750,14500,15000,13500,14000,13000
10/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,21250,21250,28000,28000,24000,24000,37500,40000,35000,31750,30000,33500,13750,11750,14500,15000,13500,14000,13000
13/11/2017,12150,11500,10500,12800,12500,13000,12500,31000,31000,145000,150000,140000,20750,20750,28500,28500,23500,23500,42000,44000,40000,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
14/11/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21000,21000,28500,28500,23500,23500,42000,44000,40000,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
15/11/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21000,21000,28500,28500,23500,23500,42000,44000,40000,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
16/11/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21000,21000,29000,29000,29000,29000,45500,51000,40000,32500,30000,35000,13750,11750,14500,15000,13500,14000,13000
17/11/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21000,21000,30000,30000,29000,29000,50000,55000,45000,32500,30000,35000,13750,11750,14500,15000,13500,14000,13000
20/11/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,21000,21000,29000,29000,27000,27000,52000,52500,51500,33250,31500,35000,13750,11750,14500,15000,13500,14000,13000
21/11/2017,12150,11500,10500,12800,12500,13000,12500,31500,31500,145000,150000,140000,21000,21000,29000,29000,27000,27000,52000,52500,51500,33250,31500,35000,13750,11750,14500,15000,13500,14000,13000
22/11/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23/11/2017,12150,11500,10500,12800,12500,13000,12500,31500,31500,145000,150000,140000,22750,22750,29000,29000,27000,27000,52000,52500,51500,33250,31500,35000,13750,11750,14500,15000,13500,14000,13000
24/11/2017,12150,11500,10500,12800,12500,13000,12500,31500,31500,145000,150000,140000,23000,23000,29000,29000,27000,27000,52000,52500,51500,33250,31500,35000,13750,11750,14500,15000,13500,14000,13000
27/11/2017,12150,11500,10500,12800,12500,13000,12500,31500,31500,145000,150000,140000,23500,23500,29000,29000,27000,27000,49250,51000,47500,33250,31500,35000,13750,11750,14500,15000,13500,14000,13000
28/11/2017,12150,11500,10500,12800,12500,13000,12500,31500,31500,145000,150000,140000,23500,23500,29000,29000,27000,27000,49250,51000,47500,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
29/11/2017,12150,11500,10500,12800,12500,13000,12500,31500,31500,145000,150000,140000,23500,23500,29000,29000,27000,27000,45500,51000,40000,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
30/11/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,23500,23500,27000,27000,27000,27000,45500,51000,40000,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
01/12/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
04/12/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,24000,24000,27000,27000,27000,27000,47500,55000,40000,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
05/12/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,24000,24000,27000,27000,27000,27000,52500,55000,50000,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
06/12/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,24000,24000,27000,27000,27000,27000,51000,56000,46000,32250,31000,33500,13750,11750,14500,15000,13500,14000,13000
07/12/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,24000,24000,27000,27000,27000,27000,51000,56000,46000,31000,31000,31000,13750,11750,14500,15000,13500,14000,13000
08/12/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,24000,24000,27000,27000,27000,27000,51000,56000,46000,31000,31000,31000,13750,11750,14500,15000,13500,14000,13000
11/12/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,25000,25000,24500,24500,26000,26000,42500,51000,34000,30750,30000,31500,13750,11750,14500,15000,13500,14000,13000
12/12/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,25000,25000,24500,24500,26000,26000,42500,51000,34000,30750,30000,31500,13750,11750,14500,15000,13500,14000,13000
13/12/2017,12150,11500,10500,12800,12500,13000,12500,33000,33000,145000,150000,140000,25250,25250,24500,24500,26000,26000,39500,45000,34000,28250,25000,31500,13750,11750,14500,15000,13500,14000,13000
14/12/2017,12150,11500,10500,12800,12500,13000,12500,32500,32500,145000,150000,140000,25250,25250,24500,24500,26000,26000,39500,45000,34000,28250,25000,31500,13750,11750,14500,15000,13500,14000,13000
15/12/2017,12150,11500,10500,12800,12500,13000,12500,34500,34500,145000,150000,140000,26000,26000,24500,24500,26000,26000,42000,50000,34000,27000,25000,29000,13750,11750,14500,15000,13500,14000,13000
18/12/2017,12150,11500,10500,12800,12500,13000,12500,35500,35500,145000,150000,140000,26000,26000,24500,24500,26000,26000,42000,50000,34000,27000,25000,29000,13750,11750,14500,15000,13500,14000,13000
19/12/2017,12300,11550,10900,12600,11800,13400,13400,35500,35500,145000,150000,140000,26000,26000,24500,24500,26000,26000,42000,50000,34000,27000,25000,29000,13750,11750,14500,15000,13500,14000,13000
20/12/2017,12300,11550,10900,12600,11800,13400,13400,35500,35500,145000,150000,140000,26000,26000,24500,24500,26000,26000,47500,50000,45000,37500,25000,50000,13750,11750,14500,15000,13500,14000,13000
21/12/2017,12300,11550,10900,12600,11800,13400,13400,37000,37000,145000,150000,140000,26000,26000,24500,24500,26000,26000,47500,50000,45000,37500,25000,50000,13750,11750,14500,15000,13500,14000,13000
22/12/2017,12300,11550,10900,12600,11800,13400,13400,37000,37000,145000,150000,140000,26000,26000,24500,24500,26000,26000,42500,45000,40000,43000,36000,50000,13750,11750,14500,15000,13500,14000,13000
27/12/2017,12300,11550,10900,12600,11800,13400,13400,38000,38000,145000,150000,140000,26250,26250,24500,24500,26000,26000,42500,45000,40000,50000,40000,60000,13650,11500,14500,15000,13500,14000,13000
28/12/2017,12300,11550,10900,12600,11800,13400,13400,38000,38000,145000,150000,140000,26250,26250,24500,24500,26000,26000,42500,45000,40000,50000,40000,60000,13650,11500,14500,15000,13500,14000,13000
29/12/2017,12300,11550,10900,12600,11800,13400,13400,38000,38000,145000,150000,140000,26250,26250,24500,24500,26000,26000,40000,40000,40000,55000,50000,60000,13650,11500,14500,15000,13500,14000,13000
