tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
04/09/2017,11550,10950,10400,11850,11200,12650,12000,33750,33750,135000,140000,130000,21500,21500,29500,29500,31000,31000,37500,50000,25000,26000,22500,29500,13650,12000,14400,14650,14300,14900,13650
08/09/2017,11550,10950,10400,11850,11200,12650,12000,32250,32250,135000,140000,130000,21500,21500,29500,29500,31000,31000,36250,47500,25000,26000,22500,29500,13650,12000,14400,14650,14450,15250,13650
15/09/2017,11650,11000,10000,12650,11750,12750,11500,31750,31750,135000,140000,130000,21000,21000,29000,29000,31000,31000,35400,45000,25750,23750,22500,25000,13650,12000,14400,14650,14450,15250,13650
22/09/2017,11650,11000,10000,12650,11750,12750,11500,31750,31750,135000,140000,130000,21150,21150,28000,28000,29500,29500,35000,43000,27000,22500,22500,22500,13650,12000,14400,14650,14450,15250,13650
29/09/2017,11650,11000,10000,12650,11750,12750,11500,32000,32000,135000,140000,130000,20750,20750,27000,27000,29250,29250,34500,40750,28250,23750,22500,25000,13650,12000,14400,14650,14350,15000,13650
06/10/2017,11650,11000,10000,12650,11750,12750,11500,31750,31750,135000,140000,130000,20500,20500,26750,26750,29250,29250,37750,42500,33000,23750,22500,25000,13650,12000,14400,14650,14350,15000,13650
13/10/2017,11650,11000,10000,12650,11750,12750,11500,31750,31750,135000,140000,130000,22000,22000,23250,23250,24500,24500,44150,45000,43250,23150,22500,23750,13650,12000,14400,14650,14350,15000,13650
20/10/2017,11650,11000,10000,12650,11750,12750,11500,30000,30000,135000,140000,130000,21750,21750,23250,23250,23500,23500,37900,38250,37500,23900,22500,25250,13650,12000,14400,14650,14350,15000,13650
27/10/2017,11750,11250,11000,12650,11750,12900,10900,30000,30000,135000,140000,130000,20900,20900,24000,24000,27500,27500,34500,34000,35000,24150,23750,24500,13650,12000,14400,14650,14350,15000,13650
03/11/2017,11750,11250,11000,12650,11750,12900,10900,30750,30750,135000,140000,130000,21000,21000,29500,29500,27250,27250,35000,35000,35000,26750,27000,26500,13650,12000,14400,14650,14350,15000,13650
10/11/2017,11750,11250,11000,12650,11750,12900,10900,30750,30750,135000,140000,130000,21150,21150,28000,28000,26000,26000,36250,37500,35000,27900,27000,28750,13700,12150,14400,14650,14100,15000,13150
17/11/2017,11750,11250,11000,12650,11750,12900,10900,31500,31500,135000,140000,130000,21500,21500,30000,30000,28500,28500,46900,51250,42500,29150,28750,29500,13700,12150,14400,14650,14100,15000,13150
24/11/2017,11750,11250,11000,12650,11750,12900,10900,31750,31750,135000,140000,130000,23000,23000,29500,29500,27500,27500,48250,53250,43250,31150,29750,32500,13700,12150,14400,14650,14100,15000,13150
01/12/2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08/12/2017,11750,11250,11000,12650,11750,12900,10900,32000,32000,135000,140000,130000,24000,24000,26000,26000,27500,27500,50750,55500,46000,30000,29500,30500,13700,12150,14400,14650,14100,15000,13150
15/12/2017,11750,11250,11000,12650,11750,12900,10900,33250,33250,135000,140000,130000,25000,25000,24750,24750,27000,27000,46250,52500,40000,25500,24000,27000,13700,12150,14400,14650,14100,15000,13150
22/12/2017,11850,11300,11200,12550,11400,13100,11350,36000,36000,135000,140000,130000,26000,26000,24750,24750,27000,27000,42500,47500,37500,34500,29500,39500,13700,12150,14400,14650,14100,15000,13150
